,original_amount,revised_amount,year,GDP_growth,inflation,manufacturing_value_added,official_exchange_rate,ENT  (ENTERTAIN),GENERAL,GS   (GEN SERV),HUD (GEN SERV-HUD),INS  (INSTRUCTOR),IT/TECH,LS   (LEASE SVCS),LW   (DON'T USE),PRO  (PRO SERVIC),RISK - HR / INS,RNT  (EQUIP RENT)
5579,2329.6,6323.2,2010,2.06159311851432,8.00279982052117,10.70037081,1,0,0,0,0,0,0,1,0,0,0,0
5580,244744.065350472,258506.007841702,2020,2.28068760319185,2.06933726526059,11.8575606302731,1,0,0,0,0,0,0,0,0,0,0,0
5581,36933.0,36933.0,2019,1.84187539518688,1.46483265562714,11.7981164603897,1,0,0,0,0,0,0,0,0,0,0,0
5582,85000.0,85000.0,2021,1.54989495017045,3.15684156862206,11.9472468321556,1,0,0,0,0,0,0,0,0,0,0,1
5583,25150.0,22538.42,2014,2.9453848312678,2.44258329692818,11.348073930706,1,0,0,0,0,0,0,0,0,1,0,0
5584,1143000.0,1184163.28,2021,1.54989495017045,3.15684156862206,11.9472468321556,1,0,0,1,0,0,0,0,0,0,0,0
5585,5502.2,5102.0,2019,1.84187539518688,1.46483265562714,11.7981164603897,1,0,0,0,0,0,0,0,0,1,0,0
5586,528126.473860682,220301.857600594,2021,1.54989495017045,3.15684156862206,11.9472468321556,1,0,0,1,0,0,0,0,0,0,0,0
5587,4600.0,2537.5,2020,2.28068760319185,2.06933726526059,11.8575606302731,1,0,0,0,0,0,0,0,0,1,0,0
5588,2000.0,2000.0,2010,2.06159311851432,8.00279982052117,10.70037081,1,0,0,1,0,0,0,0,0,0,0,0
5589,10000.0,0.0,2016,1.66747207596187,1.26158320570537,11.2236379165299,1,0,0,1,0,0,0,0,0,0,0,0
5590,480.0,1740.0,2011,5.94548476122172,4.69785886363739,10.7103708073141,1,0,0,1,0,0,0,0,0,0,0,0
5591,121934.98,1531095.38,2020,2.28068760319185,2.06933726526059,11.8575606302731,1,0,0,1,0,0,0,0,0,0,0,0
5592,13000.0,13000.0,2011,5.94548476122172,4.69785886363739,10.7103708073141,1,0,0,1,0,0,0,0,0,0,0,0
5593,409940.4,409940.4,2010,2.06159311851432,8.00279982052117,10.70037081,1,0,0,0,0,0,0,0,0,0,0,0
5594,10000.0,10000.0,2021,1.54989495017045,3.15684156862206,11.9472468321556,1,0,0,1,0,0,0,0,0,0,0,0
5595,4500.0,6956.0,2015,2.24192121597748,2.13011000365963,11.2588564739494,1,0,0,0,0,0,0,0,0,1,0,0
5596,2500.0,2500.0,2010,2.06159311851432,8.00279982052117,10.70037081,1,0,1,0,0,0,0,0,0,0,0,0
5597,0.0,3200.0,2010,2.06159311851432,8.00279982052117,10.70037081,1,0,0,0,0,0,0,0,0,1,0,0
